id,algo_id,run_time,model_id,mse,rmse,mae,rmsle,mean_residue_deviance
1,1,500,GBM_3_AutoML_20190417_172402,6819859.311,2611.486035,1948.062105,NaN,6819859.311
2,1,500,GBM_2_AutoML_20190417_172402,6853555.057,2617.929536,1953.90689,NaN,6853555.057
3,1,500,GBM_1_AutoML_20190417_172402,6776398.222,2603.151594,1943.796215,NaN,6776398.222
4,3,500,DRF_1_AutoML_20190417_172402,8850818.284,2975.032485,2240.492733,0.423903644,8850818.284
5,5,500,StackedEnsemble_AllModels_AutoML_20190417_172402,12835106.91,3582.611744,2821.637544,0.523714828,12835106.91
6,5,500,StackedEnsemble_BestOfFamily_AutoML_20190417_172402,16604859.86,4074.906117,3248.211483,0.577518561,16604859.86
7,5,500,StackedEnsemble_BestOfFamily_AutoML_20190417_172402,16604859.86,4074.906117,3248.211483,0.577518561,16604859.86
8,1,1000,GBM_5_AutoML_20190419_174950,6518089.042,2553.054845,1888.68186,,6518089.042
9,1,1000,GBM_4_AutoML_20190419_174950,5966601.72,2442.662834,1821.932765,,5966601.72
10,1,1000,GBM_3_AutoML_20190419_174950,6780219.376,2603.885438,1941.467976,,6780219.376
11,1,1000,GBM_2_AutoML_20190419_174950,6843856.055,2616.076462,1949.992816,,6843856.055
12,1,1000,GBM_1_AutoML_20190419_174950,6964575.683,2639.048253,1970.69031,,6964575.683
13,3,1000,DRF_1_AutoML_20190419_174950,9249620.432,3041.318864,2290.047757,0.435612092,9249620.432
14,5,1000,StackedEnsemble_AllModels_AutoML_20190419_174950,10840169.44,3292.441258,2571.864559,0.488331308,10840169.44
15,5,1000,StackedEnsemble_BestOfFamily_AutoML_20190419_174950,16629060.91,4077.874558,3250.816018,0.578001622,16629060.91
16,2,1000,GLM_grid_1_AutoML_20190419_174950_model_1,24810576.55,4981.021637,4047.516837,0.666416712,24810576.55
17,1,1500,GBM_4_AutoML_20190419_184714,6623893.295,2573.692541,1912.187269,,6623893.295
18,1,1500,GBM_2_AutoML_20190419_184714,6880904.948,2623.147908,1958.432402,,6880904.948
19,1,1500,GBM_1_AutoML_20190419_184714,6947140.888,2635.742948,1967.16513,,6947140.888
20,4,1500,DeepLearning_1_AutoML_20190419_184714,7337932.932,2708.861926,2010.320172,0.35517041,7337932.932
21,3,1500,DRF_1_AutoML_20190419_184714,8498060.75,2915.14335,2199.219806,0.416115391,8498060.75
22,5,1500,StackedEnsemble_AllModels_AutoML_20190419_184714,10208476.72,3195.070692,2488.091493,0.475006783,10208476.72
23,5,1500,StackedEnsemble_BestOfFamily_AutoML_20190419_184714,14377728.15,3791.797483,3003.325936,0.547576799,14377728.15
24,1,2000,GBM_2_AutoML_20190419_200713,6848715.298,2617.005024,1951.01147,,6848715.298
25,4,2000,DeepLearning_1_AutoML_20190419_200713,7310427.416,2703.780209,2012.764617,,7310427.416
26,3,2000,DRF_1_AutoML_20190419_200713,7712755.349,2777.184788,2093.235416,0.385330651,7712755.349
27,5,2000,StackedEnsemble_AllModels_AutoML_20190419_200713,10180155.44,3190.635585,2484.908793,0.473957736,10180155.44
28,5,2000,StackedEnsemble_BestOfFamily_AutoML_20190419_200713,14299150,3781.42169,2995.812537,0.546024793,14299150
29,2,2000,GLM_grid_1_AutoML_20190419_200713_model_1,24810576.55,4981.021637,4047.516837,0.666416712,24810576.55
30,4,2500,DeepLearning_1_AutoML_20190419_205801,7334150.984,2708.163766,2020.327307,0.353313218,7334150.984
31,1,2500,GBM_grid_1_AutoML_20190419_205801_model_1,7834211.967,2798.966232,2101.347051,,7834211.967
32,3,2500,DRF_1_AutoML_20190419_205801,8236976.791,2870.013378,2165.275356,0.407344774,8236976.791
33,5,2500,StackedEnsemble_AllModels_AutoML_20190419_205801,9417292.762,3068.760786,2368.498116,0.456217781,9417292.762
34,,2500,XRT_1_AutoML_20190419_205801,9845398.758,3137.737841,2361.082902,0.447547138,9845398.758
35,5,2500,StackedEnsemble_BestOfFamily_AutoML_20190419_205801,13081806.9,3616.87806,2847.871247,0.528028129,13081806.9
36,1,2500,GBM_grid_1_AutoML_20190419_205801_model_2,24717222.62,4971.641844,4038.099071,0.665558779,24717222.62
37,2,2500,GLM_grid_1_AutoML_20190419_205801_model_1,24810576.55,4981.021637,4047.516837,0.666416712,24810576.55
